"team","location","run_percent","hr_percent","avg_dist","year"
"ATL","home",0.472677595628415,0.466666666666667,364,"2017"
"ATL","away",0.484848484848485,0.554285714285714,364,"2018"
"ATL","home",0.515151515151515,0.445714285714286,364,"2018"
"ATL","away",0.493567251461988,0.473895582329317,364,"2019"
"ATL","home",0.506432748538012,0.526104417670683,364,"2019"
"ATL","away",0.456896551724138,0.495145631067961,364,"2020"
"ATL","home",0.543103448275862,0.504854368932039,364,"2020"
"MIN","away",0.494186046511628,0.5,366,"2005"
"MIN","home",0.505813953488372,0.5,366,"2005"
"MIN","away",0.474406991260924,0.517482517482518,366,"2006"
"MIN","home",0.525593008739076,0.482517482517482,366,"2006"
"MIN","away",0.544568245125348,0.593220338983051,366,"2007"
"MIN","home",0.455431754874652,0.406779661016949,366,"2007"
